Channel,Spend ($),% Budget,LT ROAS,aaROAS,aaROAS (governance lower bound),Multiplier Gap %,Evidence Tier,Posture,Governance Action,CFO Escalation Required,Scepticism Range
Roku OTT Prospecting,"$767,788",0.9%,115.0x,29.9x,28.4x,74.0%,IDIC,VERIFIED,OPTIMISE / SCALE — quarterly Finance review,NO,0–5%
Apple Search Ads Brand,"$358,340",0.4%,13.1x,1.4x,1.4x,89.0%,IDIC,VERIFIED,OPTIMISE / SCALE — quarterly Finance review,NO,0–5%
Google Display,"$54,736",0.1%,11.0x,51.4x,48.8x,-367.0%,IDIC,VERIFIED,OPTIMISE / SCALE — quarterly Finance review,NO,0–5%
Facebook Prospecting,"$487,992",0.6%,26.5x,28.1x,26.7x,-6.0%,IDIC,VERIFIED,OPTIMISE / SCALE — quarterly Finance review,NO,0–5%
TV Prospecting,"$5,941,151",7.0%,1.4x,5.2x,4.4x,-273.0%,MDIC,SPECULATIVE,JUDGEMENT OVERRIDE — joint CMO/CFO review,YES,5–15%
Ad Roll Mobile Ad Network,"$465,697",0.5%,5.0x,41.9x,39.8x,-738.0%,IDIC,VERIFIED,OPTIMISE / SCALE — quarterly Finance review,NO,0–5%
Roku OTT Prospecting 2,"$2,224,969",2.6%,39.7x,10.3x,9.8x,74.0%,IDIC,VERIFIED,OPTIMISE / SCALE — quarterly Finance review,NO,0–5%
Radio Prospecting,"$3,205,108",3.8%,10.5x,3.6x,3.4x,66.0%,IDIC,VERIFIED,OPTIMISE / SCALE — quarterly Finance review,NO,0–5%
Google Non-Brand Search,"$6,703,595",7.9%,2.8x,1.0x,1.0x,64.0%,IDIC,VERIFIED,OPTIMISE / SCALE — quarterly Finance review,NO,0–5%
Google Brand Search,"$2,457,429",2.9%,16.8x,8.9x,8.5x,47.0%,IDIC,VERIFIED,OPTIMISE / SCALE — quarterly Finance review,NO,0–5%
Google Non-Brand Shopping,"$4,172,791",4.9%,3.1x,0.0x,0.0x,100.0%,MDIC,SPECULATIVE,JUDGEMENT OVERRIDE — joint CMO/CFO review,YES,5–15%
TikTok Prospecting,"$809,483",1.0%,17.8x,0.7x,0.7x,96.0%,IDIC,VERIFIED,OPTIMISE / SCALE — quarterly Finance review,NO,0–5%
Google UAC Prospecting,"$4,716,412",5.6%,3.3x,6.8x,6.5x,-107.0%,IDIC,VERIFIED,OPTIMISE / SCALE — quarterly Finance review,NO,0–5%
Google Youtube Prospecting,"$3,154,976",3.7%,1.9x,4.9x,4.2x,-158.0%,MDIC,SPECULATIVE,JUDGEMENT OVERRIDE — joint CMO/CFO review,YES,5–15%
Promo All,"$49,237,284",58.1%,5.4x,3.4x,2.9x,37.0%,MDIC,SPECULATIVE,JUDGEMENT OVERRIDE — joint CMO/CFO review,YES,5–15%
